Name,Profile,Team,Matches_Played,Total_points,Successful_raids,Raid_points,Successful_tackles,Tackle_points,Avg_raid_points,Avg_tackle_points,Do_or_Die_raid_points,Super_raids,Super_tackles,Super_10s,High_5s,Season
pardeep narwal,Raider,Patna Pirates,104,1108,836,1101,6,7,10.69,0.07,136,50,1,57,,All
rahul chaudhari,Raider,Tamil Thalaivas,119,1001,775,942,54,59,7.92,0.5,164,24,5,40,,All
deepak niwas hooda,All Rounder,Jaipur Pink Panthers,123,943,698,856,79,87,6.96,0.71,166,20,8,31,4,All
ajay thakur,Raider,Tamil Thalaivas,115,811,640,790,21,21,6.87,0.18,163,23,,29,,All
maninder singh,Raider,Bengal Warriors,78,727,576,718,8,9,9.21,0.12,102,21,1,32,,All
rohit kumar,Raider,Bengaluru Bulls,89,703,545,664,37,39,7.55,0.44,106,15,2,26,1,All
rishank devadiga,Raider,UP Yoddha,117,641,467,595,44,46,5.09,0.39,127,25,2,10,,All
kashiling adake,Raider,Bengaluru Bulls,92,612,424,561,44,51,6.1,0.55,103,23,7,15,,All
pawan kumar sehrawat,Raider,Bengaluru Bulls,75,612,445,578,31,34,8.03,0.45,71,19,3,26,,All
anup kumar,Raider,Jaipur Pink Panthers,91,596,421,527,61,69,5.79,0.76,33,17,8,13,,All
manjeet chhillar,All Rounder,Tamil Thalaivas,108,563,179,224,324,339,2.38,3.14,19,5,15,2,23,All
sandeep narwal,All Rounder,U Mumba,119,541,189,245,268,296,2.13,2.49,25,11,28,1,16,All
jang kun lee,Raider,Patna Pirates,103,483,366,460,20,23,4.47,0.22,100,14,3,9,,All
monu goyat,Raider,UP Yoddha,69,475,377,453,19,22,6.57,0.32,73,7,3,20,,All
sachin tanwar,Raider,Gujarat Fortune Giants,63,462,356,433,26,29,6.87,0.46,88,4,3,16,,All
nitin tomar,Raider,Puneri Paltan,66,454,366,431,20,23,6.63,0.35,52,10,3,14,,All
naveen kumar,Raider,Dabang Delhi,41,420,345,413,6,7,10.07,0.17,56,5,1,26,,All
jasvir singh,Raider,Tamil Thalaivas,77,412,295,380,25,32,5,0.42,61,7,7,7,,All
