player,matches_played,total_points_earned,Most points_in_a_match,not_out_percent,Total_Raids,Successful_Raids_percent,no_of_super_raids,super_10s,total_raid_points,avg_raid_points_per_match,no_of_super_tackles,high_5s,total_tackle_points,avg_tackle_per_match,total_tackles,tackle_strike_rate,season
pawan kumar sehrawat,74,601,29,72.46%,868,65.43,18,25,568,7.67,3,0,33,0.4,87,37.93%,All
pawan kumar sehrawat,19,256,29,74.05%,343,70.55,6,13,242,12.73,1,0,13,0.66,27,48.14%,7
pawan kumar sehrawat,24,282,22,77.33%,375,72.26,12,13,271,11.29,0,0,11,0.45,40,27.50%,6
pawan kumar sehrawat,9,10,4,45.83%,24,37.5,0,0,9,1,0,0,1,0.11,2,50%,5
pawan kumar sehrawat,10,11,4,48.48%,33,33.33,0,0,11,1.1,0,0,0,0,1,0,4
pawan kumar sehrawat,13,53,7,64.54%,110,40.9,1,0,45,3.46,2,0,8,0.46,17,47.05%,3
pardeep narwal,103,1089,34,77.18%,1823,59.35,49,56,1082,10.5,1,0,7,0.05,34,20.58%,All
pardeep narwal,19,243,26,75.19%,383,63.44,12,13,243,12.78,0,0,0,0,2,0,7
pardeep narwal,21,233,27,76.21%,391,59.59,6,15,233,11.09,0,0,0,0,1,0,6
pardeep narwal,26,369,34,80.71%,586,62.96,18,19,369,14.19,0,0,0,0,10,0,5
pardeep narwal,16,133,18,76.04%,263,49.8,3,5,131,8.18,1,0,2,0.06,6,33.33%,4
pardeep narwal,16,121,24,75.93%,187,62.03,10,5,116,7.25,0,0,5,0.31,13,38.46%,3
pardeep narwal,6,9,4,68.42%,38,23.68,1,0,9,1.5,0,0,0,0,2,0,2
naveen kumar,39,390,17,82.92%,650,58.92,5,24,383,9.82,1,0,7,0.15,17,41.17%,All
naveen kumar,20,258,19,85%,408,62.74,2,19,256,12.8,0,0,2,0.11,6,33%,7
naveen kumar,22,177,15,79.47%,307,56.02,3,8,172,7.81,1,0,5,0.18,12,41.66%,6
maninder singh,77,710,19,80.28%,1202,58.31,21,31,701,9.1,1,0,9,0.1,44,20.45%,All
maninder singh,18,175,19,81.69%,284,61.61,6,8,175,9.72,0,0,0,0,7,0,7
maninder singh,22,206,17,79.52%,376,54.78,6,9,206,9.36,0,0,0,0,5,0,6
maninder singh,21,192,17,82.01%,367,51.77,6,9,190,9.04,0,0,2,0.09,13,15.38%,5
maninder singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
maninder singh,16,137,13,76%,175,74.28,3,5,130,8.12,1,0,7,0.37,19,36.84%,3
vikash kandola,49,380,15,78.82%,784,47.32,11,14,371,7.57,0,0,9,0.18,34,26.47%,All
vikash kandola,14,142,13,81.33%,284,48.59,5,8,138,9.85,0,0,4,0.28,10,40%,7
vikash kandola,22,177,15,77.23%,347,49.56,5,6,172,7.81,0,0,5,0.22,18,27.77%,6
vikash kandola,9,58,9,78.67%,136,42.64,1,0,58,6.44,0,0,0,0,4,0,5
vikash kandola,4,3,3,70.58%,17,17.64,0,0,3,0.75,0,0,0,0,2,0,4
siddharth sirish desai,37,361,23,74.73%,558,63.62,12,17,355,9.59,0,0,6,0.16,14,42.85%,All
siddharth sirish desai,16,140,23,70.88%,237,57.8,2,5,137,8.56,0,0,3,0.18,5,60%,7
siddharth sirish desai,21,221,19,77.57%,321,67.91,10,12,218,10.38,0,0,3,0.14,9,33.33%,6
deepak niwas hooda,121,919,20,81.15%,1725,48.28,20,29,833,6.88,8,4,86,0.64,230,37.39%,All
deepak niwas hooda,18,134,14,80.68%,264,46.59,2,5,123,6.83,2,0,11,0.5,26,42.30%,7
deepak niwas hooda,22,208,20,80.32%,366,53.55,4,10,196,8.9,1,1,12,0.5,38,31.57%,6
