Team,Matches_Played,Total_points_scored,Total_points_conceded,Avg_points_scored,Successful_raids,Raid_points,Avg_raid_points,Successful_tackles,Tackle_points,Avg_tackle_points,Super_raid,Super_tackles,Do_or_Dies_raid_points,All_outs_inflicted,All_outs_conceded,Season,SPT
Patna Pirates,130,4484,4264,30.02,2044,2606,20.05,1170,1297,9.98,89,131,465,191,144,All,267
U Mumba,124,4032,3663,28.43,1764,2223,17.93,1203,1303,10.51,62,102,453,169,136,All,197
Bengaluru Bulls,124,3925,3874,27.65,1795,2267,18.28,1076,1162,9.37,62,93,452,150,145,All,160
Telugu Titans,120,3833,3790,28.17,1798,2224,18.53,1048,1157,9.64,58,115,425,138,130,All,181
Puneri Paltan,124,3814,3922,26.78,1651,2066,16.66,1141,1255,10.12,63,122,518,133,156,All,162
Jaipur Pink Panthers,122,3754,3796,26.68,1648,2093,17.16,1039,1163,9.53,61,129,464,135,141,All,184
Bengal Warriors,123,3745,3874,26.71,1745,2184,17.76,1009,1102,8.96,70,98,444,128,142,All,154
Dabang Delhi,119,3681,3965,26.86,1714,2137,17.96,972,1060,8.91,61,95,442,135,163,All,128
Gujarat Fortune Giants,67,2169,1942,27.79,953,1160,17.31,660,702,10.48,25,45,224,89,58,All,101
UP Yoddha,65,2088,2150,28.07,923,1179,18.14,590,646,9.94,37,60,233,69,83,All,83
Haryana Steelers,62,2024,2084,28.75,947,1187,19.15,551,596,9.61,36,47,210,68,75,All,76
Tamil Thalaivas,62,1877,2102,27.2,943,1142,18.42,502,545,8.79,16,45,207,52,84,All,29
Bengal Warriors,18,636,551,30.55,299,374,20.78,166,176,9.78,15,12,51,29,15,7,41
Bengaluru Bulls,18,621,611,30.83,294,374,20.78,158,181,10.06,7,25,38,19,23,7,28
Dabang Delhi,17,606,538,29.94,292,349,20.53,155,160,9.41,7,7,45,28,13,7,29
Patna Pirates,18,601,598,29.22,269,341,18.94,162,185,10.28,12,23,67,26,22,7,39
Haryana Steelers,17,582,552,30.11,259,336,19.76,165,176,10.35,12,11,60,25,19,7,29
Puneri Paltan,18,578,620,28.83,254,308,17.11,189,211,11.72,6,22,60,17,27,7,18
Jaipur Pink Panthers,18,552,559,27.16,221,286,15.89,173,203,11.28,7,31,70,17,19,7,36
U Mumba,17,529,494,26.47,219,281,16.53,155,169,9.94,7,16,64,24,18,7,29
Tamil Thalaivas,18,525,609,26,248,313,17.39,144,155,8.61,4,13,51,13,26,7,4
Gujarat Fortune Giants,18,518,532,24.94,226,275,15.28,160,174,9.67,4,15,52,17,21,7,15
UP Yoddha,17,514,540,26.41,208,269,15.82,167,180,10.59,4,14,64,20,21,7,17
Telugu Titans,16,474,532,27.06,228,270,16.88,143,163,10.19,5,21,35,9,20,7,15
Bengaluru Bulls,24,887,766,32.37,431,547,22.79,219,230,9.58,20,12,73,37,24,6,45
Gujarat Fortune Giants,25,876,769,30.16,392,480,19.2,258,274,10.96,10,18,74,36,20,6,44
U Mumba,23,856,672,32.52,372,459,19.96,274,289,12.57,15,15,89,41,16,6,55
Dabang Delhi,24,822,824,29.12,401,483,20.13,198,216,9,13,19,73,34,28,6,38
UP Yoddha,25,812,847,28.56,357,449,17.96,240,265,10.6,10,27,86,26,30,6,33
